subpartida|variante|f1_promedio_subpartida|precision_promedio_subpartida|recall_promedio_subpartida|pr_auc_promedio_subpartida|folds|registros_test_total
1211909091-DEMAS FRUTAS/FRUTOS Y DEMAS PART. COMESTIB. DE PLANTAS, PREP. O CONSERV. DE OTRO MOD|C_WINS|0.0|0.0|0.0|0.09|5|100
1211909099-RAICES DE REGALIZ|A_BASELINE|0.1196|0.0641|1.0|0.0641|5|1881
1211909099-RAICES DE REGALIZ|B_LOG|0.3333|0.2048|1.0|0.2048|5|1881
1211909099-RAICES DE REGALIZ|C_WINS|0.0|0.0|0.0|0.0032|5|1881
1212920000-ALGARROBAS|A_BASELINE|0.2|0.2|0.2|0.2|5|27
1212920000-ALGARROBAS|B_LOG|0.2|0.2|0.2|0.2|5|27
1212920000-ALGARROBAS|C_WINS|0.0|0.0|0.0|0.04|5|27
1212930000-CAÃ'A DE AZUCAR|A_BASELINE|0.0|0.0|0.0|0.0|5|21
1212930000-CAÃ'A DE AZUCAR|B_LOG|0.0|0.0|0.0|0.0|5|21
1212930000-CAÃ'A DE AZUCAR|C_WINS|0.0|0.0|0.0|0.0|5|21
1214900000-DEMAS NABOS FORRAJEROS, RAICES FORRAJERAS, Y PROD. SIMILARES INCLUSO EN PELLETS|A_BASELINE|1.0|1.0|1.0|1.0|5|28
1214900000-DEMAS NABOS FORRAJEROS, RAICES FORRAJERAS, Y PROD. SIMILARES INCLUSO EN PELLETS|B_LOG|1.0|1.0|1.0|1.0|5|28
1214900000-DEMAS NABOS FORRAJEROS, RAICES FORRAJERAS, Y PROD. SIMILARES INCLUSO EN PELLETS|C_WINS|0.0|0.0|0.0|0.2133|5|28
1302191900-EXTRACTO DE UÃ'A DE GATO, PRESENTADO O ACONDICIONADO PARA LA VENTA AL POR MAYOR|A_BASELINE|0.0|0.0|0.0|0.0|5|29
1302191900-EXTRACTO DE UÃ'A DE GATO, PRESENTADO O ACONDICIONADO PARA LA VENTA AL POR MAYOR|B_LOG|0.0|0.0|0.0|0.0|5|29
1302191900-EXTRACTO DE UÃ'A DE GATO, PRESENTADO O ACONDICIONADO PARA LA VENTA AL POR MAYOR|C_WINS|0.0|0.0|0.0|0.0|5|29
1302199100-LOS DEMAS EXTRACTOS Y JUGOS VEGETALES, PRESENTADO O ACOND. PARA LA VENTA AL POR MENOR|A_BASELINE|0.0|0.0|0.0|0.0|5|20
1302199100-LOS DEMAS EXTRACTOS Y JUGOS VEGETALES, PRESENTADO O ACOND. PARA LA VENTA AL POR MENOR|B_LOG|0.0|0.0|0.0|0.0|5|20
1302199100-LOS DEMAS EXTRACTOS Y JUGOS VEGETALES, PRESENTADO O ACOND. PARA LA VENTA AL POR MENOR|C_WINS|0.0|0.0|0.0|0.0|5|20
1302199900-LOS DEMAS EXTRACTOS Y JUGOS VEGETALES, PRESENTADO O ACOND. PARA LA VENTA AL POR MAYOR|A_BASELINE|0.0|0.0|0.0|0.0|5|150
1302199900-LOS DEMAS EXTRACTOS Y JUGOS VEGETALES, PRESENTADO O ACOND. PARA LA VENTA AL POR MAYOR|B_LOG|0.0|0.0|0.0|0.0|5|150
1302199900-LOS DEMAS EXTRACTOS Y JUGOS VEGETALES, PRESENTADO O ACOND. PARA LA VENTA AL POR MAYOR|C_WINS|0.0|0.0|0.0|0.0|5|150
1302320000-MUCILAGOS Y ESPESATIVOS DE LA ALGARROBA O DE SU SEMILLA O DE LAS SEMILLAS DE GUAR, IN|A_BASELINE|0.2333|0.1667|0.4|0.1667|5|78
1302320000-MUCILAGOS Y ESPESATIVOS DE LA ALGARROBA O DE SU SEMILLA O DE LAS SEMILLAS DE GUAR, IN|B_LOG|0.4|0.4|0.4|0.4|5|78
1302320000-MUCILAGOS Y ESPESATIVOS DE LA ALGARROBA O DE SU SEMILLA O DE LAS SEMILLAS DE GUAR, IN|C_WINS|0.0|0.0|0.0|0.025|5|78
